"fips","PST045214","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN131207","AFN120207","BPS030214","POP060210","State","VoterProp"
31015,2033,4.6,21,28.7,51.1,97.2,0.1,1.1,0.9,0,0.5,2,95.7,93.7,0.2,1.8,91.6,16.1,219,17.1,1375,83.2,3.5,54500,938,2.2,23157,41279,10.5,0.0329562223315298,0.186915887850467,-8.2,0.0978848991637973,0,0,0,0,0,0,0,0,0,6300,0,0,3.9,"NE",0.646298106558245
31017,2941,4.7,20.1,24.3,50.8,98.1,0.2,0.5,0.2,0,1.1,1.2,96.9,85.6,0.9,2.2,91.2,21.8,343,13.4,1845,69.5,12.4,58900,1544,2.02,21843,33647,15.6,0.0438626317579055,0.302278136688201,3.6,0.105746344780687,0,0,0,0,0,0,0,0,8.94559673580415,15169,1.00272016320979,0.000340020401224073,2.6,"NE",0.647272878925927
31019,48224,7,23.3,12.9,50.3,95.4,1.1,0.5,1.6,0.1,1.3,8.6,87.5,78.6,4.1,7.1,92.3,31.6,2989,15,19753,64.8,20.7,139800,17705,2.51,24830,50963,13.6,0.0323075646980756,0.450087093563371,-2.6,0.0762068679495687,0.0947868281353683,0,0,0,0,1.5,22.9,0,13.6719683145322,16483,2.13866539482415,0.00574402786994028,47.6,"NE",0.504057985809811
31021,6573,5.4,22.4,23.9,50.5,95.7,0.5,2.1,0.3,0.1,1.3,2.7,93.8,88,0.6,2.4,91.9,18.3,659,23.6,3462,76.6,7.2,85700,2899,2.29,25203,46817,9.7,0.029666818804199,0.2358131751103,34.4,0.0791115168111973,0.0835235052487449,0,0,0,0,0,0,0,10.7071352502662,5793,0.298341700897611,0.00136923779096303,14,"NE",0.646192405357123
31023,8249,5.8,23.6,20.6,49.2,98,0.4,0.4,0.5,0,0.8,2.8,95.4,87.1,1.3,4.8,91,14.1,795,19.5,4060,75.9,7.1,99200,3482,2.35,27673,50247,9.4,0.0252151775972845,0.251181961449873,2.5,0.0840101830524912,0.101709298096739,0,0,0,0,0,28.6,0,14.3993211298339,8617,0.239422960358831,0.000363680446114681,14.4,"NE",0.59613762480491
31025,25524,6,24.6,16.1,49.6,97,0.5,0.5,0.5,0.1,1.5,3.1,94.3,90.7,1.3,3.4,94,23.6,3091,27,11250,79.2,6.8,146700,9701,2.57,29638,64697,6.4,0.0209214856605548,0.137400094029149,3.5,0.0701692524682652,0.0871728569189782,0,0,0,0,0,0,0,3.88148409340229,7196,0.556574204670114,0.00246826516220028,45.3,"NE",0.610597110037799
31027,8610,5.3,24.5,21.3,49.4,98.6,0.1,0.5,0.1,0,0.7,1.5,97.2,89.3,0.5,2.4,92.7,16.6,732,18.4,4132,81.2,5.7,89100,3529,2.45,25738,48038,10.1,0.0348432055749129,0.216840882694541,1,0.0829268292682927,0,0,0,0,0,0,0,0,8.09152148664344,14277,0.409639953542393,0.00104529616724739,12,"NE",0.643484012891217
31029,3978,5.7,24.1,20.7,51.2,98.6,0.2,0.4,0.1,0,0.8,12.6,86.3,87.7,6.2,9.6,90.8,18.2,274,10,1933,77.1,5.5,86000,1697,2.3,28241,45610,12.8,0.0372046254399196,0.255656108597285,1,0.0982905982905983,0.133484162895928,0,0,0,0,0,0,0,33.9542483660131,16394,0.498994469582705,0.000251382604323781,4.4,"NE",0.604444338459684
31031,5762,5.4,21.9,21.4,50,90.9,0.4,5.6,0.3,0,2.8,2.8,89.1,88.4,1.6,2.8,92.5,21.3,524,14.3,3160,67,8.9,95500,2618,2.15,25213,45464,13,0.0399166955918084,0.311176674765706,2.2,0.0996181881291218,0,0,0,0,0,0,0,0,0,13802,1.67841027421034,0.00503297466157584,1,"NE",0.665093079698728
31033,10148,6.2,24.1,16.2,50.2,95.6,0.4,1,1.5,0.1,1.4,6.6,89.9,80.3,2.7,5.1,93.3,25.3,869,12.7,4961,66.7,14.8,104100,4405,2.25,28296,51529,14,0.0286756011036657,0.453389830508475,-10.6,0.0647418210484825,0.0581395348837209,0,0,0,0,0,36.6,0,9.64249113125739,0,2.07499014584155,0.00275916436736303,8.4,"NE",0.534513443461019
31035,6315,6.3,24.3,19.1,49.4,96.3,0.7,1.3,0.3,0.3,1.1,8.9,89.1,90,3.8,7.7,87.3,17.6,500,20,2992,77.8,8.1,76100,2647,2.41,23876,46784,9,0.0300870942201108,0.179572446555819,1.3,0.0847189231987332,0.138717339667458,0,0,0,0,0,24.1,0,24.6433887569279,9604,0.219794140934283,0.00158353127474268,11.4,"NE",0.601407188227899
31037,10504,8.2,29.6,13.1,48.5,91.2,2.9,3.3,0.9,0.5,1.1,43.1,53.9,85.2,22.3,40.6,70.4,14.4,633,17.4,4140,74.4,9.2,87900,3686,2.81,23751,51765,15.5,0.0240860624523991,0.337204874333587,-2,0.0544554455445545,0.0576923076923077,0,0,0,0,0,21,0,6.05140898705255,10802,0.336062452399086,0.00171363290175171,25.5,"NE",0.406230526898844
31039,9027,5.5,24.5,21.5,49.9,97.5,0.3,0.6,0.4,0.1,1.1,9.6,88.8,88.9,4.5,8.6,88.7,17.5,722,16.1,4211,70.6,9.7,88300,3822,2.34,24496,47500,11.6,0.0381078985266423,0.281710424282707,-2.3,0.0816439570178354,0.094272737343525,0,0,0,0,0,0,0,13.0044311509915,18835,0.722277611609616,0.00155090284701451,16,"NE",0.568273105627929
31041,10728,6.1,23.3,20.9,50.2,97.6,0.5,0.5,0.3,0,1,2.6,95.3,87.7,0.7,2.2,92.6,21,926,15.9,5559,75.5,6.9,81600,4738,2.26,24615,44873,9.6,0.0356077554064131,0.264075316927666,5.5,0.104213273676361,0.138702460850112,0,0,0,0,0,20.2,0,4.91834451901566,10906,0.768269947800149,0.00326249067859806,4.2,"NE",0.646178541184798
31043,20850,8,29,12.7,50,86.4,4.3,3.8,3.5,0.3,1.6,37.4,51.8,85.7,20.3,36.4,72.8,11.1,1167,16.2,7747,64.4,16.6,103300,7309,2.82,20179,47069,16.9,0.0205275779376499,0.499136690647482,-7,0.048968824940048,0.0807194244604316,0,0,0,0,5.4,0,0,0,8368,0.921966426858513,0.00129496402877698,79.5,"NE",0.397135812476779
31045,9042,5.1,18.4,17.6,50.6,89.2,1.8,4.1,1.5,0.6,2.8,4.3,86.1,75.8,3.7,6,93.5,40.6,777,13.1,4221,64.8,15.7,100700,3709,2.15,21137,40359,19.3,0.0306348153063482,0.245963282459633,0.7,0.0716655607166556,0.116677726166777,0,0,0,0,0,0,0,1.11026321610263,18763,1.51039593010396,0.00011059500110595,6.6,"NE",0.479380537882041
31047,24096,7.5,27.9,15,49.2,91.4,4.3,1.9,0.8,0.3,1.2,33.2,61.1,84,18.1,32.5,75.8,16,1364,15.9,10136,68.3,11.5,88200,8774,2.73,20142,46078,14.8,0.0287599601593625,0.385582669322709,-0.1,0.0593459495351926,0.0789757636122178,0,0,0,0,7,24.4,0,17.6247924966799,13937,1.02307436918991,0.00182602921646746,24,"NE",0.433253117902868
31049,1940,5.2,21,23.5,50.2,96.9,0.3,1.3,0.4,0,1.1,5.5,92.2,87.1,1.8,4.8,92.6,21.8,238,23.8,1033,77.7,1.7,67400,855,2.26,27199,44922,13.5,0.0298969072164948,0.171649484536082,-2.3,0.0938144329896907,0,0,0,0,0,0,0,0,0,54087,2.1139175257732,0,4.4,"NE",0.638131280177476
31051,5782,5.8,24.8,19.7,49.7,97.2,0.6,0.7,0.2,0.1,1.1,12,86.2,91.6,5.4,8.5,86.1,16.5,477,21.2,2700,76.8,7.9,76300,2348,2.5,23769,47325,11.2,0.0181598062953995,0.214804565894154,24.2,0.0793842960913179,0,0,0,0,0,0,0,0,0,5948,0.328087167070218,0.000691802144586648,12.6,"NE",0.60141709045681
31053,36744,6.4,23.5,19,50.7,95.5,1.1,1.1,0.6,0.4,1.3,11.3,85.7,84.7,5.4,10.3,86,18.7,2959,18.3,16631,68,14.4,109200,15221,2.34,24588,48626,10.7,0.0275691269322883,0.413128674069236,1,0.0616699325059874,0.0760668408447638,0,0,1,0,0,19.4,33.5776453298498,0,18547,1.44273895057696,0.00122468974526453,69.4,"NE",0.51673546986107
31055,543244,7.6,25.8,11.5,50.7,81.3,11.6,1.2,3.3,0.1,2.5,12,70.9,82.2,8.9,13.9,89.5,36.4,34166,18.9,226919,62.7,27.4,143300,204226,2.51,29180,53325,14.3,0.0277389165826038,0.565795480483908,1,0.0643246865128745,0.0797100382148721,4.4,0.5,1.9,0.1,2.1,26.5,18.4315464137662,11.1916376434898,16306,2.05968404621128,0.00473452076783177,1574.4,"NE",0.514975613902633
31057,1886,3.9,21.2,23.3,49.6,96.6,0.4,1.2,0.1,0.3,1.4,6.5,91,83.2,3.5,6.7,93.7,22.2,189,11.8,1115,67.6,6.8,69100,893,2.18,28502,47431,8.1,0.0349946977730647,0.179215270413574,-0.6,0.084305408271474,0.100742311770944,0,0,0,0,0,43.2,0,0,7074,0.252386002120891,0,2.2,"NE",0.650666681021257
31059,5661,4.9,20.5,22.9,50.2,97.3,0.7,0.6,0.7,0,0.7,3.9,94,86.8,1,3.3,92.5,18.2,502,14.9,2916,77.3,6.6,73300,2444,2.28,25460,48464,8.8,0.0392156862745098,0.290408055113937,2.3,0.0832008479067303,0.167461579226285,0,0,0,0,0,0,0,20.0372725666843,6576,0.619678502031443,0.00264970853206147,10.2,"NE",0.614599060769982
31061,3076,4.5,19.2,25.7,50,98.1,0.2,0.5,0.1,0,1.1,1.9,96.5,85.8,0.9,1.9,91.2,17.5,367,16.7,1726,82.2,1.9,56200,1398,2.21,26095,43011,12.9,0.0240572171651495,0.142717815344603,-4.8,0.0809492847854356,0.0780234070221066,0,0,0,0,0,0,0,16.6371911573472,5522,0.315994798439532,0.000650195058517555,5.6,"NE",0.599901505104997
31063,2705,3.9,20.5,21.2,48.5,98.4,0.2,0.5,0.2,0,0.8,2.3,96.3,84.2,1,1.5,94.7,16.5,259,18.6,1570,74.5,2.8,74200,1086,2.23,25262,50227,12,0.0262476894639556,0.169316081330869,11.7,0.0868761552680222,0.121626617375231,0,0,0,0,0,46.2,0,0,5567,0.212569316081331,0.0011090573012939,2.8,"NE",0.644508771317965
